run_id,model,best_val_f1,test_acc,user,created_at
2025-12-28_22-41-27__cnn_vanilla__user-hosseinis__e30877,cnn_vanilla,0.3175893969120413,0.44280652916613944,hosseinis,2025-12-28T22:43:09
2025-12-29_00-57-46__resnet18__user-hosseinis__e30877,resnet18,0.6083739739036601,0.6521574085790206,hosseinis,2025-12-29T01:15:59
2026-01-03_14-19-41__resnet18__user-sallauka__e30877,resnet18,0.5921345412372413,0.6488042515500443,sallauka,2026-01-03T14:39:00
2026-01-05_19-13-43__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.5875221359487808,0.5265858208955224,hosseinis,2026-01-05T19:18:23
2026-01-05_19-40-57__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.5875221359487808,0.5265858208955224,hosseinis,2026-01-05T19:45:36
2026-01-05_20-12-32__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.5875221359487808,0.5265858208955224,hosseinis,2026-01-05T20:17:12
2026-01-05_21-14-02__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.5875221359487808,0.5265858208955224,hosseinis,2026-01-05T21:19:17
2026-01-05_21-43-21__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.2407029015120556,0.23567430703624734,hosseinis,2026-01-05T21:45:56
2026-01-05_22-39-47__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.5974662852472415,0.5315831556503199,hosseinis,2026-01-05T22:41:49
2026-01-05_23-55-38__resnet18__user-hosseinis__e30877,resnet18,accuracy,0.7892657676065931,0.7372068230277186,hosseinis,2026-01-06T01:32:15
2026-01-05_23-55-21__coatnet_tiny__user-hosseinis__e30877,coatnet_tiny,accuracy,0.7327339599509604,0.68363539445629,hosseinis,2026-01-06T02:15:41
2026-01-06_00-09-05__emonext_base__user-hosseinis__e30877,emonext_base,accuracy,0.19316169459201743,0.12353411513859275,hosseinis,2026-01-06T02:25:42
2026-01-06_00-09-49__emocatnets_base__user-hosseinis__e30877,emocatnets_base,accuracy,0.19997275575534668,0.12699893390191896,hosseinis,2026-01-06T02:52:42
